time_ms,app_state,surface_state,faults,drive_command_native,left_drive_command_native,right_drive_command_native,steering_offset_us,steering_pulse_us,suction_mode,steering_left_pulse_us,steering_right_pulse_us,logical_suction_request,hardware_suction_output,adhesion_risk,state_elapsed_ms,transition_candidate,transition_up_observed,kill_switch,track_mode,line_error_filtered,error_rate,fuzzy_kp,fuzzy_ki,fuzzy_kd,left_speed_target,right_speed_target,left_speed_measured,right_speed_measured
1,0,0,0,0,0,0,0,1510,0,1510,1510,0,0,1000,0,0,0,0,0,0,0,115,0,70,0,0,100,100
2,1,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,0,0,0,0,0,0,0,115,0,70,0,0,100,100
3,1,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,0,0,0,0,0,0,0,115,0,70,0,0,100,100
4,2,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,0,0,0,0,0,0,0,115,0,70,0,0,100,100
5,2,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,0,0,0,0,0,0,0,115,0,70,0,0,100,100
6,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,0,0,0,0,0,0,0,115,0,70,0,0,100,100
7,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,0,0,0,0,0,0,0,115,0,70,0,0,100,100
8,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,2,0,0,0,0,0,0,115,0,70,0,0,100,100
9,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,2,0,0,0,0,0,0,115,0,70,0,0,100,100
10,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,4,0,0,0,0,0,0,115,0,70,0,0,100,100
11,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,4,0,0,0,0,0,0,115,0,70,0,0,100,100
12,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,6,0,0,0,0,0,0,115,0,70,0,0,100,100
13,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,6,0,0,0,0,0,0,115,0,70,0,0,100,100
14,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,8,0,0,0,0,0,0,115,0,70,0,0,100,100
15,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,8,0,0,0,0,0,0,115,0,70,0,0,100,100
16,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,10,0,0,0,0,0,0,115,0,70,0,0,100,100
17,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,10,0,0,0,0,0,0,115,0,70,0,0,100,100
18,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,12,0,0,0,0,0,0,115,0,70,0,0,100,100
19,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,12,0,0,0,0,0,0,115,0,70,0,0,100,100
20,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,14,0,0,0,0,0,0,115,0,70,0,0,100,100
21,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,14,0,0,0,0,0,0,115,0,70,0,0,100,100
22,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,16,0,0,0,0,0,0,115,0,70,0,0,100,100
23,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,16,0,0,0,0,0,0,115,0,70,0,0,100,100
24,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,18,0,0,0,0,0,0,115,0,70,0,0,100,100
25,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,18,0,0,0,0,0,0,115,0,70,0,0,100,100
26,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,20,0,0,0,0,0,0,115,0,70,0,0,100,100
27,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,20,0,0,0,0,0,0,115,0,70,0,0,100,100
28,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,22,0,0,0,0,0,0,115,0,70,0,0,100,100
29,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,22,0,0,0,0,0,0,115,0,70,0,0,100,100
30,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,24,0,0,0,0,0,0,115,0,70,0,0,100,100
31,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,24,0,0,0,0,0,0,115,0,70,0,0,100,100
32,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,26,0,0,0,0,0,0,115,0,70,0,0,100,100
33,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,26,0,0,0,0,0,0,115,0,70,0,0,100,100
34,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,28,0,0,0,0,0,0,115,0,70,0,0,100,100
35,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,28,0,0,0,0,0,0,115,0,70,0,0,100,100
36,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,30,0,0,0,0,0,0,115,0,70,0,0,100,100
37,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,30,0,0,0,0,0,0,115,0,70,0,0,100,100
38,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,32,0,0,0,0,0,0,115,0,70,0,0,100,100
39,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,32,0,0,0,0,0,0,115,0,70,0,0,100,100
40,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,34,0,0,0,0,0,0,115,0,70,0,0,100,100
41,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,34,0,0,0,0,0,0,115,0,70,0,0,100,100
42,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,36,0,0,0,0,0,0,115,0,70,0,0,100,100
43,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,36,0,0,0,0,0,0,115,0,70,0,0,100,100
44,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,38,0,0,0,0,0,0,115,0,70,0,0,100,100
45,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,38,0,0,0,0,0,0,115,0,70,0,0,100,100
46,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,40,0,0,0,0,0,0,115,0,70,0,0,100,100
47,3,1,0,0,0,0,0,1510,0,1510,1510,0,0,0,40,0,0,0,0,0,0,115,0,70,0,0,100,100
